original,modernisé,commentaire
enfanstrouvés,enfants trouvés,erreur OCR
cæur,cœur,erreur OCR
yous,yous,erreur OCR
jene,je ne,erreur OCR
monfieur,monsieur,erreur OCR
quevous,que vous,erreur OCR
etde,et de,erreur OCR
bellescousines,belles cousines,erreur OCR
ensin,enfin,erreur OCR
semme,femme,erreur OCR
répondisje,répondis-je,erreur OCR
deson,de son,erreur OCR
répon,répon,erreur OCR
tont,tont,erreur OCR
fix,six,erreur OCR
dansla,dans la,erreur OCR
debéatrix,de Béatrix,erreur OCR
leplus,le plus,erreur OCR
sortune,fortune,erreur OCR
crain,crain,erreur OCR
quele,que le,erreur OCR
jevous,je vous,erreur OCR
toutesles,toutes les,erreur OCR
samille,famille,erreur OCR
etla,et la,erreur OCR
jai,j'ai,erreur OCR
cequi,ce qui,erreur OCR
madamede,madame de,erreur OCR
etle,et le,erreur OCR
jesuis,je suis,erreur OCR
detous,de tous,erreur OCR
plufieurs,plusieurs,erreur OCR
pourmoi,pour moi,erreur OCR
jeme,je me,erreur OCR
deses,de ses,erreur OCR
uu,un,erreur OCR
vovage,voyage,erreur OCR
dansune,dans une,erreur OCR
jeunehomme,jeune homme,erreur OCR
trèsaimable,très aimable,erreur OCR
dema,de ma,erreur OCR
suneste,funeste,erreur OCR
dansles,dans les,erreur OCR
etje,et je,erreur OCR
vousavez,vous avez,erreur OCR
etque,et que,erreur OCR
maisje,mais je,erreur OCR
patrié,patrie,erreur OCR
deménécrate,deménécrate,erreur OCR
sorce,force,erreur OCR
confidérable,considérable,erreur OCR
éroit,étoit,erreur OCR
quime,qui me,erreur OCR
ayoit,avait,erreur OCR
queles,que les,erreur OCR
soudre,foudre,erreur OCR
ccœur,cœur,erreur OCR
deleur,de leur,erreur OCR
pourles,pour les,erreur OCR
élait,était,erreur OCR
confolans,consolants,erreur OCR
inistriss,mistriss,erreur OCR
jainais,jamais,erreur OCR
inais,mais,erreur OCR
lesplus,les plus,erreur OCR
filence,silence,erreur OCR
sacrisier,sacrifier,erreur OCR
ilest,il est,erreur OCR
sivous,si vous,erreur OCR
lesyeux,les yeux,erreur OCR
mals,mais,erreur OCR
vousêtes,vous êtes,erreur OCR
decécile,decécile,erreur OCR
àparis,à paris,erreur OCR
pournous,pour nous,erreur OCR
dontles,dont les,erreur OCR
toutce,tout ce,erreur OCR
fentimens,sentimens,erreur OCR
ij,ij,erreur OCR
trèsconsidérable,très considérable,erreur OCR
nesont,ne sont,erreur OCR
jele,je le,erreur OCR
salloit,falloit,erreur OCR
detout,de tout,erreur OCR
decharlemagne,de charlemagne,erreur OCR
pasmoins,pas moins,erreur OCR
quelquesois,quelquefois,erreur OCR
monpère,mon père,erreur OCR
lanature,la nature,erreur OCR
