,Text in Puget_Periphas,Text in B,Location in Puget_Periphas,Location in B
Anonym_Suzon_0,"principes de la loi naturelle GRAVÉE DANS LE CŒUR DE TOUS LES mortels, telles sont ici les ",e contraire aux lois que Dieu GRAVA DANS LE CŒUR DE TOUS LES hommes. Quand vous avez pu ab,"(91858, 91889)","(41672, 41702)"
Arnaud_Epoux_0,'était pas moins sensible aux SERVICES QUE J'AVAIS EU LE BONHEUR DE LUI RENDRE. Oubliant auprès de moi son r,ce qui ne payait que trop les SERVICES QUE J'AVAIS EU LE BONHEUR DE LUI RENDRE; je me félicitais avec lui de,"(115883, 115931)","(219800, 219848)"
Benoist_Elisabeth_0,"tamp; je n'en puis douter, il EST LE PLUS GRAND DES MAUX POUR le cœur séduit par des qualit"," Mais l'absence, qui, dit-on, EST LE PLUS GRAND DES MAUX POUR les amants, ne m'a causé nul ","(335292, 335323)","(3470, 3501)"
Fievee_Dot_0,de âme? Mais portons les yeux DANS LE SEIN DE LA DIVINITÉ. C'EST-là que ses vertus lui forment,ien la force que l'on cherche DANS LE SEIN DE LA DIVINITÉ EST au-dessus des consolations hu,"(71847, 71881)","(3909, 3940)"
Loaisel_Comtesse_0,"ngée, recevez, ajouta-t-elle, EN PORTANT LA MAIN SUR SON BRACELET ... A ce mot, à ce geste, Per","nds pas: ce fer, ajoute-t-il, EN PORTANT LA MAIN SUR SON ÉPÉE, “ce fer immoleroit plutôt à ","(17128, 17163)","(143132, 143163)"
Loaisel_Lucile_0,"ngée, recevez, ajouta-t-elle, EN PORTANT LA MAIN SUR SON BRACELET ... A ce mot, à ce geste, Per","nds pas“: ce fer, ajoute-t-il, 
EN PORTANT LA MAIN SUR SON ÉPée, „ce “fer immoleroit plutôt","(17128, 17163)","(141872, 141903)"
Marmontel_Contes_0,ment les passions de son âme. CE N'EST PAS QU'IL NE FÛT AUSSI l'admirateur de Periphas. L'e,"t, et pour en tirer avantage. CE N'EST PAS QU'IL NE FÛT AUSSI entreprenantque la politesse ","(318254, 318285)","(88155, 88186)"
Marmontel_Incas_0,"enfonce dans son sein, etamp; TOMBE EXPIRANTE DANS LES BRAS DE SES femmes qui cherchèrent envain","é Montezume. Il chancelle, et TOMBE EXPIRANT DANS LES BRAS DE SES ennemis. En le voyant tomber,","(127795, 127831)","(94498, 94533)"
Sade_120_0,ong de ses membres; il se fit DANS TOUTES LES PARTIES DE SON CORPS une révolution mortelle. Déjà,"as de la baiser, de la lécher DANS TOUTES LES PARTIES DE SON CORPS. ""Ah, mon ami,"" dit à la fin ","(66409, 66445)","(432968, 433004)"
Sade_Justine_0,A ce vacarme Hyperion fremit. IL NE SAIT PLUS OÙ IL EN EST: les siens l'ignorent encore ,es grâces et de la volupté... IL NE SAIT PLUS OÙ IL EN EST ; son ivresse est au point de,"(293196, 293224)","(185911, 185939)"
Tiphaigne_Galligenes_0,s furent saisis d'effroi: ils SE PRÉCIPITAIENT LES UNS SUR LES AUTRES; ils s'élançaient tumultueuse,"ui s'élevaient de tous côtés, SE PRÉCIPITAIENT LES UNES SUR LES AUTRES, etamp; se brisaient avec un ","(80777, 80816)","(30125, 30165)"
